,num_primo
656,10663
657,10667
658,10687
659,10691
660,10711
661,10723
662,10739
663,10771
664,10799
665,10831
666,10847
667,10859
668,10867
669,10883
670,10891
671,10903
672,10939
673,10979
674,10987
675,11003
676,11027
677,11047
678,11059
679,11071
680,11083
681,11087
682,11119
683,11131
684,11159
685,11171
686,11239
687,11243
688,11251
689,11279
690,11287
691,11299
692,11311
693,11351
694,11383
695,11399
696,11411
697,11423
698,11443
699,11447
700,11467
701,11471
702,11483
703,11491
704,11503
705,11519
706,11527
707,11551
708,11579
709,11587
710,11699
711,11719
712,11731
713,11743
714,11779
715,11783
716,11807
717,11827
718,11831
719,11839
720,11863
721,11867
722,11887
723,11903
724,11923
725,11927
726,11939
727,11959
728,11971
729,11987
730,12007
731,12011
732,12043
733,12071
734,12107
735,12119
736,12143
737,12163
738,12203
739,12211
740,12227
741,12239
742,12251
743,12263
744,12323
745,12343
746,12347
747,12379
748,12391
749,12451
750,12479
751,12487
752,12491
753,12503
754,12511
755,12527
756,12539
757,12547
758,12583
759,12611
760,12619
761,12647
762,12659
763,12671
764,12703
765,12739
766,12743
767,12763
768,12791
769,12799
770,12823
771,12899
772,12907
773,12911
774,12919
775,12923
776,12959
777,12967
778,12979
779,12983
780,13003
781,13007
782,13043
783,13063
784,13099
785,13103
786,13127
787,13147
788,13151
789,13159
790,13163
791,13171
792,13183
793,13187
794,13219
795,13259
796,13267
797,13291
798,13327
799,13331
800,13339
801,13367
802,13399
803,13411
804,13451
805,13463
806,13487
807,13499
808,13523
809,13567
810,13591
811,13619
812,13627
813,13679
814,13687
815,13691
816,13711
817,13723
818,13751
819,13759
820,13763
821,13799
822,13807
823,13831
824,13859
825,13879
826,13883
827,13903
828,13907
829,13931
830,13963
831,13967
832,13999
833,14011
834,14051
835,14071
836,14083
837,14087
838,14107
839,14143
840,14159
841,14207
842,14243
843,14251
844,14303
845,14323
846,14327
847,14347
848,14387
849,14407
850,14411
851,14419
852,14423
853,14431
854,14447
855,14479
856,14503
857,14519
858,14543
859,14551
860,14563
